row,cols,memory(bytes),time(sec)
100,200, 1327604328,8.675820
100,400, 4343863800,15.620278
100,600, 9469970216,24.797488
100,800, 9444818704,21.428896
100,1000, 14679033600,29.023142
200,200, 2965168784,10.391137
200,400, 9306730392,18.765008
200,600, 23925804480,36.730166
200,800, 17041610520,26.095095
200,1000, 29505105984,39.799624
300,200, 6444664312,16.355999
300,400, 12457558600,19.630145
300,600, 22591082208,29.081535
300,800, 46314158880,49.794156
300,1000, 38102937936,44.495233
400,200, 5377502568,10.464380
400,400, 21954380952,26.831416
400,600, 43482496344,44.829673
400,800, 60654977952,57.379893
400,1000, 100764812600,87.782441
500,200, 11454195000,18.254532
500,400, 18024871112,20.246205
500,600, 39702301912,38.584180
500,800, 70849195160,63.459719
500,1000, 95715655112,82.131486
600,200, 12851324240,18.171843
600,400, 24825323968,25.162617
600,600, 64717963288,56.559039
600,800, 88243551864,73.796681
600,1000, 104756525608,92.067282
700,200, 29737531448,37.433778
700,400, 50093274200,44.573169
700,600, 57177372480,50.111591
700,800, 85246084632,73.842536
700,1000, 125326545936,106.062573
800,200, 29113398280,32.523147
800,400, 49861044200,41.241217
800,600, 111347667912,82.745866
800,800, 123620046656,93.865083
800,1000, 200797621872,145.274660
900,200, 33546609400,34.839483
900,400, 311732657728,223.466877
900,600, 143180104568,102.193757
900,800, 145327781176,107.601150
900,1000, 206451557936,154.146450
1000,200, 23914041344,23.505789
1000,400, 71758345688,52.504927
1000,600, 275805646808,174.307242
1000,800, 218349124024,146.587305
1000,1000, 212373730312,157.059295
1100,200, 23959793040,22.733436
1100,400, 104773618808,75.058265
1100,600, 97053250608,72.575148
1100,800, 396649624744,239.698296
1100,1000, 977641098376,549.429024
1200,200, 22959225472,20.809504
1200,400, 100922773984,67.903802
1200,600, 122430253864,85.987361
1200,800, 245683873624,163.482132
1200,1000, 245595544992,182.789533
1300,200, 51509652648,42.084883
1300,400, 109712117048,72.398606
1300,600, 184093795408,119.438574
1300,800, 201707767840,148.449587
1300,1000, 255990556032,207.471233
1400,200, 27295490504,22.938381
1400,400, 104797239544,68.939476
1400,600, 181877234544,127.348124
1400,800, 452044676376,293.104443
1400,1000, 300913572840,242.864053
1500,200, 53044481232,44.361880
1500,400, 167188560768,108.709916
1500,600, 151846866264,117.049791
1500,800, 277789405952,200.623615
1500,1000, 621108719096,432.582696
1600,200, 51911369608,42.139743
1600,400, 89615501512,60.704128
1600,600, 175751520648,122.046247
1600,800, 743978558304,432.372454
