row,cols,memory(bytes),time(sec)
100,200, 1824516,0.117556
100,400, 6170116,0.746237
100,600, 13075716,2.432281
100,800, 22541316,5.657978
100,1000, 34566916,10.952939
200,200, 2313316,0.118249
200,400, 7138916,0.791368
200,600, 14524516,2.519097
200,800, 24470116,5.821293
200,1000, 36975716,11.213437
300,200, 2802116,0.132252
300,400, 8107716,0.835667
300,600, 15973316,2.728138
300,800, 26398916,6.019712
300,1000, 39384516,11.460312
400,200, 3290916,0.144805
400,400, 9076516,0.880173
400,600, 17422116,2.709300
400,800, 28327716,6.266621
400,1000, 41793316,11.775515
500,200, 3779716,0.158287
500,400, 10045316,0.931348
500,600, 18870916,2.828801
500,800, 30256516,6.355897
500,1000, 44202116,12.062477
600,200, 4268516,0.169138
600,400, 11014116,0.978257
600,600, 20319716,2.931375
600,800, 32185316,6.531152
600,1000, 46610916,12.327481
700,200, 4757316,0.180517
700,400, 11982916,1.024823
700,600, 21768516,3.033783
700,800, 34114116,6.712144
700,1000, 49019716,12.589474
800,200, 5246116,0.191625
800,400, 12951716,1.069897
800,600, 23217316,3.126129
800,800, 36042916,6.881888
800,1000, 51428516,12.877882
900,200, 5734916,0.202315
900,400, 13920516,1.117663
900,600, 24666116,3.247371
900,800, 37971716,7.063112
900,1000, 53837316,13.142395
1000,200, 6223716,0.213267
1000,400, 14889316,1.163376
1000,600, 26114916,3.347381
1000,800, 39900516,7.236836
1000,1000, 56246116,13.433921
1100,200, 6712516,0.242127
1100,400, 15858116,1.212939
1100,600, 27563716,3.438513
1100,800, 41829316,7.450817
1100,1000, 58654916,13.915267
1200,200, 7201316,0.240650
1200,400, 16826916,1.292984
1200,600, 29012516,3.800751
1200,800, 43758116,8.306075
1200,1000, 61063716,15.607357
1300,200, 7690116,0.262650
1300,400, 17795716,1.403756
1300,600, 30461316,3.889326
1300,800, 45686916,8.641269
1300,1000, 63472516,15.337573
1400,200, 8178916,0.270646
1400,400, 18764516,1.433258
1400,600, 31910116,3.948765
1400,800, 47615716,8.806026
1400,1000, 65881316,15.529699
1500,200, 8667716,0.269684
1500,400, 19733316,1.421843
1500,600, 33358916,3.948052
1500,800, 49544516,8.632236
1500,1000, 68290116,16.038896
1600,200, 9156516,0.279950
1600,400, 20702116,1.468517
1600,600, 34807716,4.031790
1600,800, 51473316,8.957927
1600,1000, 70698916,17.133622
1700,200, 9645316,0.293817
1700,400, 21670916,1.521284
1700,600, 36256516,4.192035
1700,800, 53402116,9.650146
1700,1000, 73107716,20.591563
1800,200, 10134116,0.309328
1800,400, 22639716,1.737029
1800,600, 37705316,4.989566
1800,800, 55330916,11.475204
1800,1000, 75516516,21.309990
1900,200, 10622916,0.349765
1900,400, 23608516,1.769188
1900,600, 39154116,5.242781
1900,800, 57259716,12.476444
1900,1000, 77925316,22.563546
2000,200, 11111716,0.330856
2000,400, 24577316,1.801053
2000,600, 40602916,5.742585
2000,800, 59188516,12.949110
2000,1000, 80334116,23.028314
2100,200, 11600516,0.336075
2100,400, 25546116,1.778335
2100,600, 42051716,5.672294
2100,800, 61117316,12.745852
2100,1000, 82742916,23.769012
2200,200, 12089316,0.360006
2200,400, 26514916,1.945192
2200,600, 43500516,6.082119
2200,800, 63046116,14.087150
2200,1000, 85151716,24.510132
2300,200, 12578116,0.377793
2300,400, 27483716,2.012684
2300,600, 44949316,6.514002
2300,800, 64974916,14.095253
2300,1000, 87560516,25.379674
2400,200, 13066916,0.384856
2400,400, 28452516,2.375941
2400,600, 46398116,7.049509
2400,800, 66903716,15.026185
2400,1000, 89969316,25.963046
2500,200, 13555716,0.393119
2500,400, 29421316,2.242008
2500,600, 47846916,7.689330
2500,800, 68832516,15.443598
2500,1000, 92378116,27.216023
2600,200, 14044516,0.417948
2600,400, 30390116,2.447441
2600,600, 49295716,7.706710
2600,800, 70761316,15.306906
2600,1000, 94786916,25.735689
2700,200, 14533316,0.415081
2700,400, 31358916,2.137831
2700,600, 50744516,6.424219
2700,800, 72690116,14.833221
2700,1000, 97195716,26.403920
2800,200, 15022116,0.414185
2800,400, 32327716,2.213205
2800,600, 52193316,7.108005
2800,800, 74618916,15.018200
2800,1000, 99604516,27.169548
2900,200, 15510916,0.424578
2900,400, 33296516,2.307995
2900,600, 53642116,6.869730
2900,800, 76547716,15.729476
2900,1000, 102013316,28.073580
3000,200, 15999716,0.437293
3000,400, 34265316,2.366404
3000,600, 55090916,7.375961
3000,800, 78476516,16.162916
3000,1000, 104422116,28.523225
3100,200, 16488516,0.452994
3100,400, 35234116,2.536640
3100,600, 56539716,8.145728
3100,800, 80405316,17.865263
3100,1000, 106830916,29.946330
3200,200, 16977316,0.461516
3200,400, 36202916,2.649726
3200,600, 57988516,8.931930
3200,800, 82334116,17.869241
3200,1000, 109239716,30.631856
3300,200, 17466116,0.471610
3300,400, 37171716,2.748095
3300,600, 59437316,9.135654
3300,800, 84262916,18.313096
3300,1000, 111648516,30.892473
3400,200, 17954916,0.482794
3400,400, 38140516,2.826151
3400,600, 60886116,8.808896
3400,800, 86191716,18.520978
3400,1000, 114057316,31.488055
3500,200, 18443716,0.494528
3500,400, 39109316,2.931334
3500,600, 62334916,9.104310
3500,800, 88120516,18.554797
3500,1000, 116466116,31.896831
3600,200, 18932516,0.507280
3600,400, 40078116,3.002473
3600,600, 63783716,9.429124
3600,800, 90049316,19.225552
3600,1000, 118874916,32.785688
3700,200, 19421316,0.518382
3700,400, 41046916,3.128278
3700,600, 65232516,9.809432
3700,800, 91978116,19.669323
3700,1000, 121283716,33.179594
3800,200, 19910116,0.528904
3800,400, 42015716,3.211383
3800,600, 66681316,10.067477
3800,800, 93906916,20.321173
