row,cols,memory(bytes),time(sec)
100,200, 6886024,0.820567
100,400, 8877960,1.027766
100,600, 16916104,1.975239
100,800, 11337736,1.252950
100,1000, 10406920,1.104039
200,200, 9257224,1.071877
200,400, 12547592,1.378121
200,600, 13046920,1.416999
200,800, 14857096,1.575411
200,1000, 15356424,1.590265
300,200, 9094536,1.030408
300,400, 11205896,1.144302
300,600, 17381512,1.841791
300,800, 16112264,1.634048
300,1000, 22055816,2.373521
400,200, 11189768,1.216369
400,400, 15151496,1.609723
400,600, 20762760,2.235961
400,800, 19499912,2.016948
400,1000, 28015112,3.224125
500,200, 11208968,1.174348
500,400, 17999496,1.925561
500,600, 24325896,2.650151
500,800, 19375240,1.955816
500,1000, 22001160,2.214003
600,200, 13881224,1.538927
600,400, 13258376,1.249351
600,600, 13206280,1.165361
600,800, 23647240,2.538231
600,1000, 21243144,2.077887
700,200, 11059208,1.121355
700,400, 15077768,1.449812
700,600, 18199432,1.796521
700,800, 22970632,2.397217
700,1000, 35004808,4.420520
800,200, 14321032,1.559501
800,400, 17762696,1.793968
800,600, 15929608,1.315704
800,800, 29644808,3.547128
800,1000, 31336584,3.613869
900,200, 12333192,1.242091
900,400, 19657352,2.075301
900,600, 23431560,2.489418
900,800, 25719304,2.708625
900,1000, 33206536,3.790428
1000,200, 12766344,1.245716
1000,400, 18290568,1.778726
1000,600, 25345160,2.731511
1000,800, 28253960,2.993234
1000,1000, 25743752,2.057993
1100,200, 15488776,1.542974
1100,400, 22041736,2.276700
1100,600, 22222344,2.176757
1100,800, 26925064,2.614111
1100,1000, 28955912,2.571186
1200,200, 15602056,1.582932
1200,400, 15889416,1.299152
1200,600, 22555400,2.153077
1200,800, 25558536,2.193750
1200,1000, 32995976,3.332325
1300,200, 24370696,2.713024
1300,400, 29807496,3.481304
1300,600, 23578376,2.206996
1300,800, 31273096,3.307118
1300,1000, 36252040,3.760039
1400,200, 12046600,1.037904
1400,400, 19628552,1.827418
1400,600, 30459400,3.457781
1400,800, 30238984,2.962241
1400,1000, 33104392,2.825421
1500,200, 14367624,1.355049
1500,400, 24997896,2.728609
1500,600, 32071944,3.759982
1500,800, 32077448,3.201879
1500,1000, 40970376,4.783804
1600,200, 17152776,1.730165
1600,400, 22426888,2.227010
1600,600, 28811144,2.991821
1600,800, 32899848,3.155109
1600,1000, 40362888,4.327575
1700,200, 18018696,1.834579
1700,400, 24208648,2.470177
1700,600, 28755336,2.919378
1700,800, 36914696,4.075671
1700,1000, 49006600,6.542659
1800,200, 25382408,2.926100
1800,400, 23613320,2.312437
1800,600, 30926088,3.345916
