row,cols,memory(bytes),time(sec)
100,200, 1263072,0.003357
100,400, 2424672,0.004207
100,600, 3586272,0.006206
100,800, 4747872,0.008142
100,1000, 5909472,0.010126
200,200, 2444672,0.004409
200,400, 4726272,0.008178
200,600, 7007872,0.011992
200,800, 9289472,0.016050
200,1000, 11571072,0.019742
300,200, 3626272,0.006546
300,400, 7027872,0.012242
300,600, 10429472,0.018709
300,800, 13831072,0.023806
300,1000, 17232672,0.030386
400,200, 4807872,0.008718
400,400, 9329472,0.016335
400,600, 13851072,0.024282
400,800, 18372672,0.032919
400,1000, 22894272,0.041116
500,200, 5989472,0.012225
500,400, 11631072,0.020355
500,600, 17272672,0.030280
500,800, 22914272,0.039931
500,1000, 28555872,0.049076
600,200, 7171072,0.015601
600,400, 13932672,0.024376
600,600, 20694272,0.036205
600,800, 27455872,0.048661
600,1000, 34217472,0.059357
700,200, 8352672,0.017697
700,400, 16234272,0.028235
700,600, 24115872,0.042575
700,800, 31997472,0.055511
700,1000, 39879072,0.069386
800,200, 9534272,0.017125
800,400, 18535872,0.032364
800,600, 27537472,0.048399
800,800, 36539072,0.064069
800,1000, 45540672,0.079559
900,200, 10715872,0.021456
900,400, 20837472,0.037113
900,600, 30959072,0.054365
900,800, 41080672,0.072144
900,1000, 51202272,0.089414
1000,200, 11897472,0.021494
1000,400, 23139072,0.040855
1000,600, 34380672,0.061386
1000,800, 45622272,0.079981
1000,1000, 56863872,0.100077
1100,200, 13079072,0.025021
1100,400, 25440672,0.044709
1100,600, 37802272,0.067208
1100,800, 50163872,0.089070
1100,1000, 62525472,0.114251
1200,200, 14260672,0.025904
1200,400, 27742272,0.048863
1200,600, 41223872,0.074478
1200,800, 54705472,0.097463
1200,1000, 68187072,0.125986
1300,200, 15442272,0.027894
1300,400, 30043872,0.053078
1300,600, 44645472,0.081042
1300,800, 59247072,0.108092
1300,1000, 73848672,0.157335
1400,200, 16623872,0.031804
1400,400, 32345472,0.058016
1400,600, 48067072,0.086768
1400,800, 63788672,0.117092
1400,1000, 79510272,0.154932
1500,200, 17805472,0.032377
1500,400, 34647072,0.061620
1500,600, 51488672,0.092947
1500,800, 68330272,0.128198
1500,1000, 85171872,0.167963
1600,200, 18987072,0.034676
